OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
BEIDOU-3 M2 (C20),2017-069B,2020-12-25T13:04:11.306784,1.86231387,.0006234,55.2875,129.8122,316.4945,101.2579,0,U,43002,999,2135,0,.17E-6,0
BEIDOU-3 M3 (C27),2018-003A,2020-12-25T11:56:42.779904,1.86232461,.0003209,55.3817,11.0677,28.2085,163.9993,0,U,43107,999,2011,0,-.79E-6,0
BEIDOU-3 M4 (C28),2018-003B,2020-12-25T09:56:52.591776,1.86232514,.0004708,55.3757,11.0616,247.2104,294.3829,0,U,43108,999,2011,0,-.8E-6,0
BEIDOU-3 M5 (C21),2018-018A,2020-12-25T01:17:51.819072,1.86231676,.0004505,55.2477,129.9261,346.1667,13.7874,0,U,43207,999,1949,0,.21E-6,0
BEIDOU-3 M6 (C22),2018-018B,2020-12-25T02:53:59.742240,1.86231770,.0005997,55.2472,129.9288,299.3938,60.5126,0,U,43208,999,1949,0,.21E-6,0
BEIDOU-3 M7 (C29),2018-029A,2020-12-25T14:45:33.077088,1.86232567,.0001714,55.3217,8.8648,264.9133,276.0121,0,U,43245,999,1865,0,-.79E-6,0
BEIDOU-3 M8 (C30),2018-029B,2020-12-25T13:09:12.043584,1.86232789,.0004411,55.3179,8.8975,324.6984,217.4152,0,U,43246,999,1864,.1E-3,-.79E-6,0
BEIDOU IGSO-7 (C16),2018-057A,2020-12-26T02:08:41.878176,1.00266421,.0030906,55.0486,180.5160,212.0148,209.5808,0,U,43539,999,911,0,-.27E-6,0
BEIDOU-3 M9 (C23),2018-062A,2020-12-26T04:27:38.038752,1.86231757,.0003967,54.4758,250.5489,297.6444,161.7699,0,U,43581,999,1640,0,.26E-6,0
BEIDOU-3 M10 (C24),2018-062B,2020-12-25T17:28:02.480736,1.86232287,.000633,54.4751,250.5529,355.7445,247.7448,0,U,43582,999,1639,0,.19E-6,0
BEIDOU-3 M11 (C25),2018-067A,2020-12-25T17:34:24.486240,1.86231471,.0007454,54.5489,249.1213,356.2399,292.7518,0,U,43602,999,1588,0,.23E-6,0
BEIDOU-3 M12 (C26),2018-067B,2020-12-25T22:11:47.209344,1.86231390,.0004775,54.5461,249.0833,348.6576,339.9747,0,U,43603,999,1590,0,.26E-6,0
BEIDOU-3 M13 (C32),2018-072A,2020-12-25T12:46:58.100160,1.86231517,.000424,55.2114,129.4843,278.8013,177.2577,0,U,43622,999,1541,0,.17E-6,0
BEIDOU-3 M14 (C33),2018-072B,2020-12-25T15:45:40.296960,1.86231526,.0002762,55.2125,129.4716,325.5301,303.9669,0,U,43623,999,1541,0,.16E-6,0
BEIDOU-3 M15 (C34),2018-078A,2020-12-25T16:22:01.647264,1.86232728,.0006548,55.2134,9.0670,336.0271,205.5465,0,U,43647,999,1492,.1E-3,-.79E-6,0
BEIDOU-3 M16 (C35),2018-078B,2020-12-25T20:58:54.613344,1.86232262,.0004331,55.2108,9.0682,339.1093,240.1343,0,U,43648,999,1494,.1E-3,-.79E-6,0
BEIDOU-3 G1 (C59),2018-085A,2020-12-25T21:10:49.670976,1.00274786,.000432,1.3663,244.2564,5.0461,303.2879,0,U,43683,999,801,0,-.256E-5,0
BEIDOU-3 M17 (C36),2018-093A,2020-12-25T14:12:59.508288,1.86231831,.0009392,54.5568,250.4154,277.7566,8.7078,0,U,43706,999,1428,0,.18E-6,0
BEIDOU-3 M18 (C37),2018-093B,2020-12-26T00:02:56.618016,1.86232064,.0008733,54.5562,250.3901,302.6318,349.2033,0,U,43707,999,1429,0,.24E-6,0
BEIDOU-3 IGSO-1 (C38),2019-023A,2020-12-25T14:09:29.900160,1.00291760,.0018216,55.7708,58.8202,199.0021,161.9821,0,U,44204,999,631,0,-.227E-5,0
BEIDOU-2 G8,2019-027A,2020-12-25T21:12:05.042880,1.00270272,.0008048,0.5604,307.5822,275.9383,333.9230,0,U,44231,999,603,0,-.227E-5,0
BEIDOU-3 IGSO-2 (C39),2019-035A,2020-12-24T22:37:06.496320,1.00283377,.0016579,55.0757,176.5704,184.1685,179.5445,0,U,44337,999,564,0,-.19E-6,0
BEIDOU-3 M23 (C45),2019-061A,2020-12-25T12:32:56.693760,1.86231692,.0009119,54.7799,250.4525,334.8136,309.3641,0,U,44542,999,854,.1E-3,.17E-6,0
BEIDOU-3 M24 (C46),2019-061B,2020-12-25T15:51:45.347328,1.86231973,.0006406,54.7779,250.4171,329.0421,318.3253,0,U,44543,999,855,.1E-3,.19E-6,0
BEIDOU-3 IGSO-3,2019-073A,2020-12-26T00:02:04.549056,1.00275709,.0020381,58.1131,301.9378,197.5466,64.1342,0,U,44709,999,440,0,-.195E-5,0
BEIDOU-3 M21,2019-078A,2020-12-25T17:58:30.216576,1.86232681,.0006512,55.0606,9.1499,343.4354,197.7235,0,U,44793,999,741,.1E-3,-.79E-6,0
BEIDOU-3 M22,2019-078B,2020-12-25T21:11:19.819392,1.86233034,.0004668,55.0360,9.1484,332.9416,208.6398,0,U,44794,999,741,.1E-3,-.79E-6,0
BEIDOU-3 M19,2019-090A,2020-12-25T17:18:13.800384,1.86231737,.0014042,55.1468,129.7181,259.6609,8.0333,0,U,44864,999,699,0,.16E-6,0
BEIDOU-3 M20,2019-090B,2020-12-25T22:55:06.407328,1.86231708,.001253,55.1488,129.7406,277.3731,237.0986,0,U,44865,999,698,0,.14E-6,0
BEIDOU-3 G2,2020-017A,2020-12-25T21:51:42.730272,1.00272215,.0001163,2.6691,332.1874,310.8616,219.8018,0,U,45344,999,321,0,-.121E-5,0
BEIDOU-3 G3,2020-040A,2020-12-26T02:32:42.789984,1.00268628,.0009564,2.6826,298.3855,14.6655,290.7314,0,U,45807,999,203,0,-.331E-5,0
