OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
BEIDOU 3 (C01),2010-001A,2020-12-25T21:10:57.207648,1.00270669,.000367,1.6319,38.3657,120.9436,33.6929,0,U,36287,999,4012,0,-.263E-5,0
BEIDOU 5 (C06),2010-036A,2020-12-26T05:47:05.683200,1.00256054,.0100429,54.1664,181.1960,233.4119,245.4106,0,U,36828,999,3817,0,.16E-6,0
BEIDOU 6 (C04),2010-057A,2020-12-25T21:16:28.845408,1.00273475,.0006566,0.8444,48.0462,186.2796,339.6027,0,U,37210,999,3723,0,-.94E-6,0
BEIDOU 7 (C07),2010-068A,2020-12-26T03:58:18.689376,1.00250083,.0079886,51.1615,296.0634,215.6339,119.1840,0,U,37256,999,3675,0,-.228E-5,0
BEIDOU 8 (C08),2011-013A,2020-12-25T14:09:52.511040,1.00251863,.0053128,59.5353,59.6616,206.0651,156.5368,0,U,37384,999,3562,0,-.209E-5,0
BEIDOU 9 (C09),2011-038A,2020-12-25T14:00:29.642688,1.00254943,.0072623,54.4486,183.6144,223.0807,350.8626,0,U,37763,999,3459,0,.39E-6,0
BEIDOU 10 (C10),2011-073A,2020-12-25T22:22:47.157600,1.00292087,.0070996,51.2637,295.6726,216.2991,12.3576,0,U,37948,999,3335,0,-.164E-5,0
BEIDOU 11 (C05),2012-008A,2020-12-26T03:40:53.320224,1.00268918,.0003512,1.8870,71.0265,232.4025,265.6613,0,U,38091,999,3243,0,.75E-6,0
BEIDOU 12 (C11),2012-018A,2020-12-26T04:25:33.106080,1.86234194,.0024904,56.7540,11.3353,247.0753,157.7100,0,U,38250,999,5906,0,-.73E-6,0
BEIDOU 13 (C12),2012-018B,2020-12-26T04:20:15.304416,1.86232752,.0015879,56.6775,10.6934,249.6983,197.0983,0,U,38251,999,5906,0,-.73E-6,0
BEIDOU 15 (C14),2012-050B,2020-12-25T22:27:53.407584,1.86232218,.001236,55.1330,129.8351,323.4994,156.5686,0,U,38775,999,5643,0,.15E-6,0
BEIDOU 16 (C02),2012-059A,2020-12-25T22:47:42.715680,1.00270047,.0008679,1.5566,84.7054,256.3692,179.7952,0,U,38953,999,3000,0,-.157E-5,0
BEIDOU 17 (C31),2015-019A,2020-12-25T20:56:30.429024,1.00304784,.0037189,52.7668,318.9950,189.6920,350.5421,0,U,40549,999,2103,0,-.161E-5,0
BEIDOU 18 (C57),2015-037A,2020-12-26T04:37:13.624320,1.86233368,.0003677,55.9429,9.8856,315.4316,49.3500,0,U,40748,999,3689,0,-.75E-6,0
BEIDOU 19 (C58),2015-037B,2020-12-25T17:38:32.334144,1.86232089,.0006622,55.9468,9.8903,291.2522,263.7025,0,U,40749,999,3687,0,-.77E-6,0
BEIDOU 20 (C18),2015-053A,2020-12-25T18:10:42.511872,1.00275582,.00467,52.3333,282.0484,192.1981,349.7422,0,U,40938,999,1931,0,-.153E-5,0
BEIDOU IGSO-6 (C13),2016-021A,2020-12-26T03:51:41.289984,1.00262144,.0043065,57.3099,58.4775,208.6409,339.6397,0,U,41434,999,1743,0,-.158E-5,0
BEIDOU-2 G7 (C03),2016-037A,2020-12-26T02:26:42.672192,1.00270031,.000819,1.8902,68.9252,356.7445,176.5832,0,U,41586,999,1673,0,-.336E-5,0
BEIDOU-3 M1 (C19),2017-069A,2020-12-25T22:09:01.126080,1.86231653,.0007427,55.2883,129.7644,286.3453,341.4177,0,U,43001,999,2136,0,.15E-6,0
