OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GPS BIIR-2  (PRN 13),1997-035A,2020-12-25T21:28:14.489760,2.00562270,.0046976,55.4635,176.6821,58.5239,301.9610,0,U,24876,999,17185,0,.106E-5,0
GPS BIIR-4  (PRN 20),2000-025A,2020-12-25T13:19:10.210656,2.00564120,.0057989,53.6519,101.2212,162.7561,293.3411,0,U,26360,999,15116,0,-.46E-6,0
GPS BIIR-5  (PRN 28),2000-040A,2020-12-25T22:08:55.308768,2.00564485,.0184227,55.8522,294.6091,281.7246,41.1470,0,U,26407,999,14984,0,-.6E-6,0
GPS BIIR-8  (PRN 16),2003-005A,2020-12-25T19:06:55.382112,2.00569685,.011811,55.9060,294.4073,35.5547,320.8781,0,U,27663,999,13120,0,-.61E-6,0
GPS BIIR-9  (PRN 21),2003-010A,2020-12-25T12:47:31.549920,2.00555894,.0243215,54.7521,45.2037,289.7505,92.4031,0,U,27704,999,13000,0,-.81E-6,0
GPS BIIR-10 (PRN 22),2003-058A,2020-12-25T14:08:35.005056,2.00566370,.0070075,53.4623,103.8988,298.2972,60.9839,0,U,28129,999,12468,0,-.41E-6,0
GPS BIIR-11 (PRN 19),2004-009A,2020-12-25T19:51:01.149696,2.00571672,.0087406,56.2388,355.2406,101.3108,71.3670,0,U,28190,999,12284,0,-.72E-6,0
GPS BIIR-13 (PRN 02),2004-045A,2020-12-25T16:41:42.588384,2.00574702,.0204877,55.0913,45.1367,270.0915,83.1154,0,U,28474,999,11832,0,-.79E-6,0
GPS BIIRM-1 (PRN 17),2005-038A,2020-12-25T19:28:39.429408,2.00582239,.0138422,56.3310,352.6440,268.4855,272.2534,0,U,28874,999,11173,0,-.72E-6,0
GPS BIIRM-2 (PRN 31),2006-042A,2020-12-25T16:12:00.889920,2.00558773,.0099015,54.8085,230.7394,11.4172,354.4041,0,U,29486,999,10432,0,.63E-6,0
GPS BIIRM-3 (PRN 12),2006-052A,2020-12-25T02:44:20.905440,2.00574436,.0079258,55.8981,293.3565,66.2078,294.6286,0,U,29601,999,10329,0,-.65E-6,0
GPS BIIRM-4 (PRN 15),2007-047A,2020-12-25T10:17:37.318560,2.00549053,.0129192,53.2099,162.8786,54.4871,306.7127,0,U,32260,999,9674,0,.85E-6,0
GPS BIIRM-5 (PRN 29),2007-062A,2020-12-25T10:12:25.290144,2.00560390,.0012674,56.4328,353.3553,134.6314,355.0711,0,U,32384,999,9540,0,-.72E-6,0
GPS BIIRM-6 (PRN 07),2008-012A,2020-12-25T08:06:34.706016,2.00569821,.0144386,54.5583,229.8118,225.5598,133.3340,0,U,32711,999,9366,0,.6E-6,0
GPS BIIRM-8 (PRN 05),2009-043A,2020-12-25T19:12:44.700768,2.00550149,.0058501,54.7004,107.2847,49.7566,309.2802,0,U,35752,999,8325,0,-.35E-6,0
GPS BIIF-1  (PRN 25),2010-022A,2020-12-25T09:49:53.052384,2.00561672,.0093608,55.1718,289.2442,52.4071,129.8513,0,U,36585,999,7748,0,-.59E-6,0
GPS BIIF-2  (PRN 01),2011-036A,2020-12-25T13:02:42.683712,2.00561907,.0100167,56.3042,49.7635,46.2122,320.7459,0,U,37753,999,6917,0,-.78E-6,0
GPS BIIF-3  (PRN 24),2012-053A,2020-12-25T00:27:42.018048,2.00569116,.0105856,53.6043,225.4871,39.9404,320.9178,0,U,38833,999,5943,0,.64E-6,0
GPS BIIF-4  (PRN 27),2013-023A,2020-12-25T09:08:41.225280,2.00563917,.0086162,55.9837,349.2383,30.9762,329.5466,0,U,39166,999,5577,0,-.74E-6,0
GPS BIIF-5  (PRN 30),2014-008A,2020-12-25T09:05:18.173184,2.00552134,.0048012,53.7133,230.9259,199.4424,160.4577,0,U,39533,999,4959,0,.57E-6,0
GPS BIIF-6  (PRN 06),2014-026A,2020-12-25T03:48:25.426368,2.00563654,.0023719,56.2756,49.3057,292.3015,67.5040,0,U,39741,999,4842,0,-.81E-6,0
GPS BIIF-7  (PRN 09),2014-045A,2020-12-25T05:59:56.754816,2.00572491,.0018052,54.6078,168.3304,103.6721,256.5411,0,U,40105,999,4599,0,.96E-6,0
GPS BIIF-8  (PRN 03),2014-068A,2020-12-25T14:57:18.711936,2.00562268,.0030774,55.4491,109.2856,48.2295,312.0131,0,U,40294,999,4510,0,-.3E-6,0
GPS BIIF-9  (PRN 26),2015-013A,2020-12-24T18:14:35.934432,2.00557068,.0054562,54.0820,287.0233,11.0157,349.1185,0,U,40534,999,4170,0,-.62E-6,0
GPS BIIF-10 (PRN 08),2015-033A,2020-12-25T10:10:36.466752,2.00552962,.0059874,55.4958,348.3203,354.6276,5.3237,0,U,40730,999,3988,0,-.75E-6,0
GPS BIIF-11 (PRN 10),2015-062A,2020-12-24T23:16:36.101856,2.00563987,.0064253,55.4434,109.1423,210.9653,148.6374,0,U,41019,999,3771,0,-.28E-6,0
GPS BIIF-12 (PRN 32),2016-007A,2020-12-25T01:30:41.791680,2.00569874,.0045018,54.8388,168.8736,221.0499,138.6239,0,U,41328,999,3577,0,.98E-6,0
GPS BIII-1  (PRN 04),2018-109A,2020-12-25T16:20:24.372096,2.00571874,.0010451,55.0200,171.1553,196.8155,145.4620,0,U,43873,999,1500,0,.99E-6,0
GPS BIII-2  (PRN 18),2019-056A,2020-12-25T18:53:20.769216,2.00561134,.0011773,55.3681,50.5582,183.2128,133.8413,0,U,44506,999,996,0,-.78E-6,0
