OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GSAT0101 (PRN E11),2011-060A,2021-01-01T19:18:25.200576,1.70475219,.00033,56.7474,35.8400,309.9604,50.0771,0,U,37846,999,5728,0,-.49E-6,0
GSAT0102 (PRN E12),2011-060B,2020-12-30T09:13:36.657984,1.70475479,.0005139,56.7467,35.9059,297.3420,63.6536,0,U,37847,999,5712,0,-.51E-6,0
GSAT0103 (PRN E19),2012-055A,2021-01-02T10:22:58.746432,1.70473623,.0001497,55.0137,156.3049,233.3139,126.6311,0,U,38857,999,5120,0,.65E-6,0
GSAT0104 (PRN E20),2012-055B,2021-01-02T08:48:32.168736,1.70473543,.0000501,55.0133,156.3061,183.9280,176.0302,0,U,38858,999,5120,0,.65E-6,0
GSAT0201 (PRN E18),2014-050A,2021-01-02T19:58:10.401312,1.85519375,.1652997,50.5307,353.4227,105.8845,272.9488,0,U,40128,999,4331,0,-.74E-6,0
GSAT0202 (PRN E14),2014-050B,2020-12-31T22:32:15.303264,1.85520092,.1650628,50.5648,352.5417,106.6382,272.1312,0,U,40129,999,4350,0,-.78E-6,0
GSAT0203 (PRN E26),2015-017A,2021-01-02T04:07:57.249696,1.70474937,.0005502,56.5416,35.9362,255.8405,104.1635,0,U,40544,999,3524,0,-.5E-6,0
GSAT0204 (PRN E22),2015-017B,2021-01-03T03:01:50.819232,1.70475875,.0003537,56.5490,35.9266,234.7170,125.3120,0,U,40545,999,3592,0,-.51E-6,0
GSAT0205 (PRN E24),2015-045A,2021-01-02T04:41:03.968448,1.70474523,.0005559,55.9977,276.6276,6.0738,354.0003,0,U,40889,999,3305,0,.8E-7,0
GSAT0206 (PRN E30),2015-045B,2021-01-03T00:01:51.249504,1.70474622,.0003961,55.9975,276.6018,356.3124,3.7514,0,U,40890,999,3309,0,.6E-7,0
GSAT0209 (PRN E09),2015-079A,2021-01-02T14:07:03.200736,1.70473433,.0002584,55.0284,156.0000,335.2215,24.7250,0,U,41174,999,3140,0,.65E-6,0
GSAT0208 (PRN E08),2015-079B,2021-01-03T09:28:08.217984,1.70473477,.0001983,55.0281,155.9769,348.0994,11.8576,0,U,41175,999,3142,0,.67E-6,0
GSAT0211 (PRN E02),2016-030A,2021-01-02T08:13:37.317792,1.70474302,.0004744,56.1413,276.4969,331.6078,28.4340,0,U,41549,999,2871,0,.8E-7,0
GSAT0210 (PRN E01),2016-030B,2020-12-31T06:56:37.075200,1.70474369,.0003598,56.1418,276.5550,308.5038,51.5266,0,U,41550,999,2867,0,.6E-7,0
GSAT0207 (PRN E07),2016-069A,2021-01-01T02:54:33.878880,1.70473406,.0002067,54.6871,156.3537,313.3812,46.5581,0,U,41859,999,2558,0,.64E-6,0
GSAT0212 (PRN E03),2016-069B,2020-12-31T23:23:31.856928,1.70473397,.0002072,54.6845,156.3562,8.1907,351.7692,0,U,41860,999,2567,0,.64E-6,0
GSAT0213 (PRN E04),2016-069C,2021-01-02T12:19:30.361440,1.70473443,.0001427,54.6871,156.3178,257.7518,102.1912,0,U,41861,999,2570,0,.65E-6,0
GSAT0214 (PRN E05),2016-069D,2021-01-02T15:51:17.489376,1.70473503,.0000576,54.6855,156.3090,266.8254,93.1273,0,U,41862,999,2569,0,.65E-6,0
GSAT0215 (PRN E21),2017-079A,2020-12-31T19:18:44.507520,1.70473576,.0002899,56.1174,276.3799,309.3569,50.6826,0,U,43055,999,1900,0,.8E-7,0
GSAT0216 (PRN E25),2017-079B,2021-01-02T06:29:29.354496,1.70473670,.0004564,56.1165,276.3392,296.6309,63.3903,0,U,43056,999,1901,0,.9E-7,0
GSAT0217 (PRN E27),2017-079C,2021-01-03T01:51:06.993792,1.70473555,.0004423,56.1132,276.3175,311.2241,48.8049,0,U,43057,999,1904,0,.6E-7,0
GSAT0218 (PRN E31),2017-079D,2021-01-02T02:58:32.460384,1.70473628,.0004843,56.1148,276.3410,291.2496,68.7666,0,U,43058,999,1905,0,.9E-7,0
GSAT0221 (PRN E15),2018-060A,2021-01-03T04:42:02.059488,1.70476009,.0006118,56.9281,35.5872,269.8471,90.1446,0,U,43564,999,1523,0,-.5E-6,0
GSAT0222 (PRN E33),2018-060B,2021-01-02T05:49:15.524256,1.70476055,.000575,56.9297,35.6129,275.4951,84.5043,0,U,43565,999,1525,0,-.49E-6,0
GSAT0219 (PRN E36),2018-060C,2021-01-01T06:57:18.615456,1.70475938,.0005495,56.9297,35.6407,270.9146,89.0904,0,U,43566,999,1521,0,-.48E-6,0
GSAT0220 (PRN E13),2018-060D,2021-01-02T16:23:17.162592,1.70475885,.0005672,56.9303,35.6035,272.7216,87.2770,0,U,43567,999,1522,0,-.49E-6,0
