#stn,X,Y,Z,ReceiverName,AntennaName,ClockType
BUCU00ROU,4093760.994,2007793.667,4445129.862,LEICA GR50,LEIAR25.R4,INTERNAL
CAGS00CAN,1096349.16,-4335060.66,4533255.22,TRIMBLE NETR8,TRM59800.00,INTERNAL
CAS100ATA,-901776.221,2409383.497,-5816748.487,SEPT POLARXS,LEIAR25.R3,INTERNAL
CCJ200JPN,-4490605.4013,3483894.7513,2884928.2222,TRIMBLE NETR9,TRM59800.00,INTERNAL
CEBR00ESP,4846664.918,-370195.2,4116929.526,SEPT POLARX5TR,SEPCHOKE_B3E6,EXTERNAL H-MASER
CEDU00AUS,-3753472.143,3912741.0403,-3347961.0368,SEPT POLARX5,AOAD/M_T,INTERNAL
CGGN00NGA,6201032.5267,995277.2635,1113815.5634,JAVAD TRE_G3TH DELTA,ASH701945B_M,INTERNAL
CHAN00CHN,-2674377.0,3757198.0,4391503.0,ASHTECH UZ-12,ASH701945E_M,EXTERNAL H-MASER 
CHIL00USA,-2478003.12,-4655349.22,3577932.2,TPS NET-G3A,TPSCR.G3,INTERNAL
CHOF00JPN,-3946216.71,3366689.83,3698971.69,JAVAD TRE_G3TH DELTA,TRM57971.00,INTERNAL
CHPG00BRA,4163476.6693,-4163821.9362,-2444511.1746,TRIMBLE ALLOY,TRM59800.00,INTERNAL
CHPI00BRA,4164613.89,-4162456.91,-2445028.76,SEPT POLARX5,TPSCR.G3,INTERNAL
CHTI00NZL,-4607855.9,-272375.8,-4386954.5,TRIMBLE ALLOY,TRM115000.00,INTERNAL
CHUM00KAZ,1228950.716,4508079.93,4327868.505,TRIMBLE NETRS,AOAD/M_T,INTERNAL
CHUR00CAN,-236438.7,-3307616.7,5430049.1,TPS NET-G3A,ASH701945E_M,EXTERNAL RUBIDIUM
CHWK00CAN,-2215259.73,-3543996.83,4802098.77,SEPT POLARX5,SEPCHOKE_B3E6,INTERNAL CLOCK STEERING
CIBG00IDN,-1837002.6304,6065627.3598,-716183.2715,TRIMBLE NETR9,LEIAR25.R4,INTERNAL
CIT100USA,-2491490.2616,-4660803.2317,3559129.0005,TRIMBLE NETR9,TRM57971.00,INTERNAL
CKIS00COK,-5583182.1381,-2054143.6114,-2292166.7567,TRIMBLE NETR9,JAVRINGANT_DM,INTERNAL
CKSV00TWN,-2956619.1898,5075902.1717,2476625.5462,TRIMBLE ALLOY,TPSCR.G3,INTERNAL
CMP900USA,-2508506.1541,-4637174.7958,3579499.9356,TPS NET-G3A,TPSCR.G3,INTERNAL
CMUM00THA,-938078.387,5968373.965,2038404.323,TRIMBLE NETR9,JAV_GRANT-G3T,INTERNAL
